Województwo;"ogó³em;ogó³em;2020;[osoba]";"ogó³em;mê¿czyŸni;2020;[osoba]";"ogó³em;kobiety;2020;[osoba]";"ogó³em;miasto;2020;[osoba]";"ogó³em;wieœ;2020;[osoba]";"zakoñczone zgonem;ogó³em;2020;[osoba]";"zakoñczone zgonem;mê¿czyŸni;2020;[osoba]";"zakoñczone zgonem;kobiety;2020;[osoba]";"zakoñczone zgonem;miasto;2020;[osoba]";"zakoñczone zgonem;wieœ;2020;[osoba]";liczba ludnoœci
POLSKA;12013;8797;3216;7679;4334;5165;4387;778;2942;2223;38265013
DOLNOŒL¥SKIE;984;735;249;763;221;423;363;60;291;132;2891321
KUJAWSKO-POMORSKIE;396;317;79;244;152;255;218;37;147;108;2061942
LUBELSKIE;626;472;154;272;354;302;261;41;108;194;2095258
LUBUSKIE;315;240;75;214;101;148;128;20;91;57;1007145
£ÓDZKIE;1263;842;421;950;313;329;278;51;180;149;2437970
MA£OPOLSKIE;1148;806;342;606;542;475;393;82;210;265;3410441
MAZOWIECKIE;1202;920;282;702;500;752;626;126;428;324;5425028
OPOLSKIE;194;145;49;108;86;105;90;15;52;53;976774
PODKARPACKIE;580;436;144;280;300;250;220;30;96;154;2121229
PODLASKIE;498;381;117;343;155;173;150;23;104;69;1173286
POMORSKIE;724;500;224;433;291;302;262;40;181;121;2346671
ŒL¥SKIE;1709;1182;527;1382;327;562;463;99;459;103;4492330
ŒWIÊTOKRZYSKIE;533;386;147;258;275;192;166;26;77;115;1224626
WARMIÑSKO-MAZURSKIE;566;433;133;354;212;245;212;33;138;107;1416495
WIELKOPOLSKIE;746;602;144;397;349;409;353;56;212;197;3496450
ZACHODNIOPOMORSKIE;529;400;129;373;156;243;204;39;168;75;1688047
