"Kod";"Nazwa";"ogółem;ogółem;2020;[osoba]";
0000000;"POLSKA";38265013;
0200000;"DOLNOŚLĄSKIE";2891321;
0400000;"KUJAWSKO-POMORSKIE";2061942;
0600000;"LUBELSKIE";2095258;
0800000;"LUBUSKIE";1007145;
1000000;"ŁÓDZKIE";2437970;
1200000;"MAŁOPOLSKIE";3410441;
1400000;"MAZOWIECKIE";5425028;
1600000;"OPOLSKIE";976774;
1800000;"PODKARPACKIE";2121229;
2000000;"PODLASKIE";1173286;
2200000;"POMORSKIE";2346671;
2400000;"ŚLĄSKIE";4492330;
2600000;"ŚWIĘTOKRZYSKIE";1224626;
2800000;"WARMIŃSKO-MAZURSKIE";1416495;
3000000;"WIELKOPOLSKIE";3496450;
3200000;"ZACHODNIOPOMORSKIE";1688047;
