Województwo;"ogó³em;ogó³em;2020;[osoba]";"ogó³em;choroba psychiczna, zaburzenia psychiczne;2020;[osoba]";"ogó³em;choroba fizyczna;2020;[osoba]";"ogó³em;nosiciel wirusa HIV, chory na AIDS;2020;[osoba]";"ogó³em;trwa³e kalectwo;2020;[osoba]";"ogó³em;nieporozumienie rodzinne, przemoc w rodzinie;2020;[osoba]";"ogó³em;mobbing, cybermobbing, znêcanie;2020;[osoba]";"ogó³em;konflikt z osobami spoza rodziny;2020;[osoba]";"ogó³em;zawód mi³osny;2020;[osoba]";"ogó³em;problemy w szkole lub pracy;2020;[osoba]";"ogó³em;nag³a utrata Ÿród³a utrzymania;2020;[osoba]";"ogó³em;z³e warunki ekonomiczne, d³ugi;2020;[osoba]";"ogó³em;dokonanie przestêpstwa lub wykroczenia;2020;[osoba]";"ogó³em;niepo¿¹dana ci¹¿a;2020;[osoba]";"ogó³em;œmieræ bliskiej osoby;2020;[osoba]";"ogó³em;zagro¿enie lub utrata miejsca zamieszkania;2020;[osoba]";"ogó³em;pogorszenie lub nag³a utrata zdrowia;2020;[osoba]";"ogó³em;inna nie wymieniona;2020;[osoba]";"ogó³em;nieustalona;2020;[osoba]";"zakoñczone zgonem;ogó³em;2020;[osoba]";"zakoñczone zgonem;choroba psychiczna, zaburzenia psychiczne;2020;[osoba]";"zakoñczone zgonem;choroba fizyczna;2020;[osoba]";"zakoñczone zgonem;nosiciel wirusa HIV, chory na AIDS;2020;[osoba]";"zakoñczone zgonem;trwa³e kalectwo;2020;[osoba]";"zakoñczone zgonem;nieporozumienie rodzinne, przemoc w rodzinie;2020;[osoba]";"zakoñczone zgonem;mobbing, cybermobbing, znêcanie;2020;[osoba]";"zakoñczone zgonem;konflikt z osobami spoza rodziny;2020;[osoba]";"zakoñczone zgonem;zawód mi³osny;2020;[osoba]";"zakoñczone zgonem;problemy w szkole lub pracy;2020;[osoba]";"zakoñczone zgonem;nag³a utrata Ÿród³a utrzymania;2020;[osoba]";"zakoñczone zgonem;z³e warunki ekonomiczne, d³ugi;2020;[osoba]";"zakoñczone zgonem;dokonanie przestêpstwa lub wykroczenia;2020;[osoba]";"zakoñczone zgonem;niepo¿¹dana ci¹¿a;2020;[osoba]";"zakoñczone zgonem;œmieræ bliskiej osoby;2020;[osoba]";"zakoñczone zgonem;zagro¿enie lub utrata miejsca zamieszkania;2020;[osoba]";"zakoñczone zgonem;pogorszenie lub nag³a utrata zdrowia;2020;[osoba]";"zakoñczone zgonem;inna nie wymieniona;2020;[osoba]";"zakoñczone zgonem;nieustalona;2020;[osoba]"
POLSKA;12013;2939;259;4;35;1127;3;121;1208;159;127;332;46;4;261;29;220;704;4969;5165;1033;174;1;12;214;1;14;222;35;38;147;23;0;84;8;147;225;2960
DOLNOŒL¥SKIE;984;204;14;1;4;57;0;8;131;12;7;27;1;1;25;1;22;48;445;423;89;12;0;3;9;0;0;30;3;3;11;0;0;13;1;16;18;226
KUJAWSKO-POMORSKIE;396;75;7;0;2;27;0;4;22;3;1;15;3;0;6;1;1;25;221;255;35;6;0;2;14;0;2;8;2;0;11;3;0;3;1;1;10;168
LUBELSKIE;626;129;11;0;0;42;0;5;46;13;7;10;1;0;6;1;13;45;315;302;54;10;0;0;10;0;2;7;5;1;6;0;0;1;1;10;13;189
LUBUSKIE;315;63;5;0;2;25;1;3;34;3;4;7;2;0;8;1;7;17;143;148;25;4;0;0;9;0;0;6;2;2;4;1;0;3;1;4;4;90
£ÓDZKIE;1263;366;30;2;2;154;0;15;175;23;18;41;6;0;40;6;21;85;369;329;67;16;0;0;13;0;0;16;3;5;10;1;0;4;0;8;17;183
MA£OPOLSKIE;1148;343;29;0;3;90;0;7;82;16;10;32;1;1;21;3;22;67;465;475;114;19;0;0;10;0;1;15;1;0;15;0;0;8;1;12;22;269
MAZOWIECKIE;1202;238;27;1;5;79;0;10;65;7;8;24;3;1;17;1;21;63;666;752;145;22;1;2;23;0;2;22;2;4;14;3;0;6;0;17;30;477
OPOLSKIE;194;43;9;0;0;21;0;2;31;0;2;6;1;0;7;1;7;19;53;105;21;6;0;0;4;0;0;14;0;1;3;0;0;4;0;4;7;44
PODKARPACKIE;580;168;15;0;1;67;0;7;50;3;4;12;1;0;9;2;14;39;219;250;62;10;0;0;8;0;1;12;2;2;7;0;0;4;1;12;10;137
PODLASKIE;498;131;11;0;2;50;0;6;40;6;3;15;3;0;8;1;6;32;210;173;40;5;0;1;8;0;0;8;2;2;7;2;0;4;0;3;12;87
POMORSKIE;724;185;11;0;2;71;1;8;81;13;7;18;3;0;15;2;10;32;299;302;62;9;0;0;16;1;1;15;4;1;10;1;0;4;1;7;11;172
ŒL¥SKIE;1709;443;31;0;6;179;1;16;208;29;27;50;6;1;47;4;23;96;633;562;109;21;0;3;28;0;2;32;5;6;19;2;0;6;0;14;19;314
ŒWIÊTOKRZYSKIE;533;136;16;0;0;60;0;5;54;9;8;18;6;0;8;2;12;42;180;192;37;7;0;0;10;0;0;4;0;3;8;3;0;4;1;8;13;102
WARMIÑSKO-MAZURSKIE;566;104;9;0;3;62;0;14;66;6;4;23;2;0;9;2;9;42;247;245;40;3;0;0;14;0;2;11;2;2;8;2;0;2;0;5;14;151
WIELKOPOLSKIE;746;195;21;0;1;78;0;4;56;9;13;22;3;0;18;0;18;26;305;409;88;15;0;0;22;0;1;8;2;5;10;2;0;11;0;17;15;222
ZACHODNIOPOMORSKIE;529;116;13;0;2;65;0;7;67;7;4;12;4;0;17;1;14;26;199;243;45;9;0;1;16;0;0;14;0;1;4;3;0;7;0;9;10;129
