Województwo;"ogó³em;ogó³em;2020;[osoba]";"ogó³em;12 lat i mniej";"ogó³em;13-18";"ogó³em;19-24";"ogó³em;25-29";"ogó³em;30-49";"ogó³em;50-69";"ogó³em;70 lat i wiêcej";"ogó³em;nieustalony wiek";"zakoñczone zgonem;ogó³em";"zakoñczone zgonem;12 lat i mniej";"zakoñczone zgonem;13-18";"zakoñczone zgonem;19-24";"zakoñczone zgonem;25-29;2020";"zakoñczone zgonem;30-49;2020";"zakoñczone zgonem;50-69;2020";"zakoñczone zgonem;70 lat i wiêcej";"zakoñczone zgonem;nieustalony wiek"
POLSKA;12013;29;814;1242;1222;4884;2898;917;7;5165;1;106;349;415;1853;1739;695;7
DOLNOŒL¥SKIE;984;3;50;100;135;413;213;70;0;423;0;12;26;48;151;129;57;0
KUJAWSKO-POMORSKIE;396;0;19;39;51;139;107;40;1;255;0;5;15;31;86;81;36;1
LUBELSKIE;626;1;54;70;55;235;168;43;0;302;0;5;28;18;103;111;37;0
LUBUSKIE;315;0;16;37;25;122;92;23;0;148;0;0;11;6;55;57;19;0
£ÓDZKIE;1263;6;82;131;141;538;274;91;0;329;0;4;20;26;109;122;48;0
MA£OPOLSKIE;1148;4;76;120;103;467;279;99;0;475;0;9;37;35;166;165;63;0
MAZOWIECKIE;1202;2;79;111;111;459;314;122;4;752;1;21;43;59;261;251;112;4
OPOLSKIE;194;0;15;21;13;70;52;23;0;105;0;4;9;7;38;33;14;0
PODKARPACKIE;580;1;42;60;52;220;153;52;0;250;0;3;20;14;79;97;37;0
PODLASKIE;498;1;32;57;57;226;96;29;0;173;0;3;16;13;65;54;22;0
POMORSKIE;724;4;80;74;69;273;181;42;1;302;0;5;24;23;122;95;32;1
ŒL¥SKIE;1709;4;126;209;178;693;385;114;0;562;0;11;39;52;197;182;81;0
ŒWIÊTOKRZYSKIE;533;0;36;46;54;202;152;43;0;192;0;0;5;12;62;78;35;0
WARMIÑSKO-MAZURSKIE;566;1;38;54;49;257;137;30;0;245;0;6;13;19;105;81;21;0
WIELKOPOLSKIE;746;1;32;63;76;334;184;56;0;409;0;6;20;35;170;128;50;0
ZACHODNIOPOMORSKIE;529;1;37;50;53;236;111;40;1;243;0;12;23;17;84;75;31;1
